gstin,name,band,planted_as,group
24DLSBQ3016N1ZZ,Khosla Inc,high,ring_shell,ring-1
36HUUSB9960H7Z8,Guha LLC,high,ring_shell,ring-1
32JRVFD9935D4Z3,"Jha, Taneja and Wali",high,ring_shell,ring-1
09YKOSO5432W8ZJ,"Setty, Pathak and Mistry",high,ring_shell,ring-1
09JTCDQ6252P6Z4,Mital PLC,high,ring_shell,ring-1
19CIPWV1049V1ZO,Madan Group,high,ring_shell,ring-2
09PBGYJ2366P5ZP,"Bhattacharyya, Bhat and Mukherjee",high,ring_shell,ring-2
07IWNLV6321F8ZE,"Sehgal, Mane and Raju",high,ring_shell,ring-2
06ENRLT9528T9Z3,Devan-Sani,high,ring_shell,ring-2
32DPUMB3137F3Z0,"Mallick, Sagar and Parmer",clean,ordinary_trader,
06TMEUI5957D8ZT,Dass-Varma,clean,ordinary_trader,
36WFQAG8528A9Z5,Acharya PLC,clean,ordinary_trader,
36QKUHT3363G8Z1,Dhawan Inc,clean,ordinary_trader,
06XLLCH1373K6Z0,"Thakkar, Narayan and Kapoor",low,honest_two_way_trader,honest-loop-12
29YGPFN5167M1ZA,Singhal and Sons,clean,ordinary_trader,
29TPVLE8820A7ZX,Bala and Sons,clean,ordinary_trader,
32JQHYS5486E9ZT,Nanda LLC,clean,ordinary_trader,
19QAOYF9022E9Z3,"Dara, Bhatia and Nanda",clean,ordinary_trader,
36IBYDQ7801O8ZC,"Malhotra, Sethi and Trivedi",clean,ordinary_trader,
36IRGOE6167K2ZD,Pau and Sons,low,honest_two_way_trader,honest-loop-5
33EOHXD6723F6ZQ,"Pau, Bahl and Nigam",clean,ordinary_trader,
36MKQTJ8113D3ZB,"Kuruvilla, Ravi and Dixit",clean,ordinary_trader,
07RQSPW5140Z2ZH,"Sahni, Loyal and Dayal",clean,ordinary_trader,
36DOAKR6492B1ZA,Aurora Inc,clean,ordinary_trader,
09JOQVF4504B8ZC,Atwal Inc,clean,ordinary_trader,
07RMQJW3353W3ZM,"Naik, Konda and Banerjee",clean,ordinary_trader,
36CVMQV4934B6Z0,Ramesh Inc,clean,ordinary_trader,
27JGLFA5617I5Z0,"Karpe, Chada and Balasubramanian",clean,ordinary_trader,
07JUHCS8296Y9Z9,"Vora, Bhatti and Som",clean,ordinary_trader,
06YQSZA9310B9ZO,"Deol, Arora and Subramaniam",clean,ordinary_trader,
36AOZCX8818C4Z4,Toor Group,low,honest_two_way_trader,honest-loop-7
32MCPVJ0931T3ZJ,Swamy Ltd,clean,ordinary_trader,
36JWQJO7718G8Z1,Bhattacharyya-Ramaswamy,clean,ordinary_trader,
19GCSCE8452T4Z7,"Ratta, Jani and Buch",clean,ordinary_trader,
24PVOMJ2656K2ZL,Subramanian-Ramesh,clean,ordinary_trader,
33MMSCL6404D5Z9,Khare-Pillay,clean,ordinary_trader,
06ZYUMR8310X1ZI,"Kalita, Chanda and Madan",clean,ordinary_trader,
33XXUIM3478V9Z4,Chopra and Sons,clean,ordinary_trader,
24RGHCF5815H7Z1,Vohra-Handa,clean,ordinary_trader,
24PISLE8831I5ZS,Salvi-Bumb,low,honest_two_way_trader,honest-loop-6
06PACMQ7731H2Z6,Hari-Kashyap,clean,ordinary_trader,
24BUWJE4861D5ZC,Ben-Bhasin,clean,ordinary_trader,
06KUHPQ3830N7ZC,Brar LLC,clean,ordinary_trader,
06BWKWN5630Z4ZD,"Som, Balasubramanian and Roy",clean,ordinary_trader,
24TPTFH7609E1Z9,"Nadig, Majumdar and Mishra",clean,ordinary_trader,
06CFKGF8704V3ZL,Nagarajan-Sharma,clean,ordinary_trader,
33YGMLY4610W6ZS,Sama Group,clean,ordinary_trader,
36BOCZB4319K6Z2,Kota-Grewal,clean,ordinary_trader,
29HDPWO6467E4ZJ,Baria-Memon,clean,ordinary_trader,
36MYFHN1078R2Z4,Kumer Inc,clean,ordinary_trader,
33ENOTV3814J8ZG,"Walla, Chand and Gade",clean,ordinary_trader,
19MIHQQ3170D1ZS,Dugar-Sampath,clean,ordinary_trader,
29LQFOT4019W1ZL,"Garg, Bhavsar and Chopra",low,honest_two_way_trader,honest-loop-13
27KNVLF9413B7ZQ,Kamdar Inc,clean,ordinary_trader,
33INJVJ6049L7ZN,"Krish, Sandal and Ramachandran",clean,ordinary_trader,
32CMSLO2200R6Z5,Sani-Pau,clean,ordinary_trader,
27CDMPY3420P3ZO,Gandhi-Kant,clean,ordinary_trader,
07FSGBM8265D9ZC,Gopal Group,clean,ordinary_trader,
06TORUY4649H3ZW,Dhingra-Parsa,clean,ordinary_trader,
09TYOFZ7611E9ZS,Batta-Deo,clean,ordinary_trader,
06QCBYQ6201T5Z8,Soman-Dutt,clean,ordinary_trader,
32LTYIF5947E9ZG,Gandhi Inc,clean,ordinary_trader,
36MFZZI1805O9Z6,Trivedi LLC,clean,ordinary_trader,
36LSELK1732T5ZX,"Ben, Lata and Sarin",clean,ordinary_trader,
07XBHEJ9668L1Z2,"Ahuja, Bala and Sarkar",low,honest_two_way_trader,honest-loop-8
27JSEGL9722A2ZS,"Batra, Bhatti and Patla",clean,ordinary_trader,
07ABURL9979Q1Z0,Lal-Bail,low,honest_two_way_trader,honest-loop-10
36RVGEN3898U2ZW,"Kalita, Chand and Mani",clean,ordinary_trader,
36AMNXO1723D1ZL,"Kata, Tara and Gandhi",clean,ordinary_trader,
33JUGCQ0243X7ZK,Raghavan Ltd,low,honest_two_way_trader,honest-loop-13
29QWAAN3943M1ZA,"Khanna, Tripathi and Handa",clean,ordinary_trader,
27WAABE0101S7ZY,Mishra-Saran,clean,ordinary_trader,
36UUJPD2134K1ZG,Kibe Group,low,honest_two_way_trader,honest-loop-11
32JTXAZ6068Y4ZY,"Rout, Vasa and Goswami",clean,ordinary_trader,
32AQGJY0057D6ZV,"Oza, Roy and Shan",clean,ordinary_trader,
24GWHPF1178Z2ZP,"Rattan, Vyas and Kanda",clean,ordinary_trader,
19RQFMU3728T6Z2,Puri-Kulkarni,clean,ordinary_trader,
33FOOWY4932K5ZW,"Nair, Dey and Wali",clean,ordinary_trader,
27HXKTQ5235G4ZA,"Chana, Mishra and Hora",clean,ordinary_trader,
09GDUDI3670A5ZE,Zacharia PLC,clean,ordinary_trader,
36HNWSS6393V2ZK,Dhawan-Bandi,clean,ordinary_trader,
07NPOAT6825Y5Z6,Raval-Nath,clean,ordinary_trader,
29DSORG7805Q7ZD,Chopra-Ahuja,clean,ordinary_trader,
33IIMMB0166U5Z6,Kuruvilla-Mittal,low,honest_two_way_trader,honest-loop-1
06MOGFE1378X5ZQ,"Dugal, Soman and Sachar",low,honest_two_way_trader,honest-loop-12
36HIWMV4627A6ZF,Pau Ltd,clean,ordinary_trader,
36JMBCS5285U5Z4,Sarna-Singhal,clean,ordinary_trader,
33LZEGM8299Z8ZJ,"More, Sangha and Koshy",clean,ordinary_trader,
33DRDIN3277R8ZV,"Tata, Palan and Warrior",clean,ordinary_trader,
07OWSPV4756N1ZN,Kaul Group,clean,ordinary_trader,
19DQPPY2036U8ZN,"Sheth, Bumb and Dugal",low,honest_two_way_trader,honest-loop-11
33NIRBJ4576K8ZM,Nigam and Sons,clean,ordinary_trader,
06UCZBM8689B1ZC,Goswami-Sen,clean,ordinary_trader,
07WWTVC3072D6Z6,"Misra, Sastry and Cheema",clean,ordinary_trader,
32FNBKA6990P7ZQ,"Prakash, Dey and Sekhon",low,honest_two_way_trader,honest-loop-14
33NRDCU7320N2Z5,Dixit-Lata,clean,ordinary_trader,
07XFBLY2148W1ZG,Kakar PLC,clean,ordinary_trader,
27JXTFP9055S6Z9,Tripathi-Om,clean,ordinary_trader,
32ZOIZY9544B1ZL,"Buch, Chahal and Tandon",clean,ordinary_trader,
32HMMVM9374W1ZA,Deol-Lata,low,honest_two_way_trader,honest-loop-11
36ZZRVY7581R1ZE,Talwar Group,clean,ordinary_trader,
19ORCRZ5136S8ZX,"Shetty, Virk and Khare",clean,ordinary_trader,
29SLMYQ2307L6Z5,Din Ltd,clean,ordinary_trader,
36GSPSS3446D1Z8,"Bera, Nair and Varughese",clean,ordinary_trader,
27RLWOP1961W9ZE,Batra-Baria,clean,ordinary_trader,
36ILBRA0487B8ZC,"Varkey, Loyal and Chad",clean,ordinary_trader,
27LPMFO3207W6ZE,"Peri, Sharma and Mitter",clean,ordinary_trader,
29MAUCO5537D8Z3,Mane-Kalita,low,honest_two_way_trader,honest-loop-3
29HEAIS4524P9Z7,"Malhotra, Vasa and Chandran",clean,ordinary_trader,
07JDIYG5643H5ZA,Shankar-Mani,clean,ordinary_trader,
29EOAZQ4256B3ZB,Kibe-Nanda,clean,ordinary_trader,
24XPYIF3293S1ZX,Panchal Group,low,honest_two_way_trader,honest-loop-2
19NYPEV4329L9Z0,"Chanda, Garde and Patil",clean,ordinary_trader,
