gstin,name,band,planted_as,group
06GKFUA8057E7ZB,Gupta-Natarajan,clean,ordinary_trader,
09KBEHO3320H1ZT,Bhasin-Dua,clean,ordinary_trader,
19PEMAE2640E4ZI,Devi and Sons,clean,ordinary_trader,
36TTTMF5468Y7Z2,"Ramachandran, Dutt and Palan",clean,ordinary_trader,
33HQOWY4180X1ZC,Bera Ltd,clean,ordinary_trader,
33EXYPJ9941W5ZS,"Sarraf, Gupta and Loyal",clean,ordinary_trader,
19TYFPQ6963V7ZN,Ratti-Nath,clean,ordinary_trader,
32RKTMF4352W7ZX,Modi-Jhaveri,clean,ordinary_trader,
36VOMVJ3572P3ZA,"Rout, Krishnan and Mitra",clean,ordinary_trader,
36CHKSR9644G9Z0,Seshadri-Sastry,clean,ordinary_trader,
27ZEKBG8567X4ZR,"Mutti, More and Chada",clean,ordinary_trader,
27MZXJJ5125Q6ZJ,Nagy Inc,clean,ordinary_trader,
07HZNDJ0794V8ZN,Raja PLC,clean,ordinary_trader,
29KZZJA5575S4ZY,Bora-Kala,clean,ordinary_trader,
33EEDQJ6527H1ZV,Subramanian Inc,clean,ordinary_trader,
29KVLTL7561Q4ZF,Srinivas-Tandon,clean,ordinary_trader,
29PBDAP6263Z3ZX,Batra-Nair,clean,ordinary_trader,
29GNPPQ5996O5ZQ,"Korpal, Barad and Mandal",clean,ordinary_trader,
32INRXW4740K7ZS,Date-Kannan,low,honest_two_way_trader,honest-loop-11
19EQHMB4623U5ZI,Krishnamurthy Ltd,clean,ordinary_trader,
19HUWUF8522H3ZL,"Chana, Roy and Buch",clean,ordinary_trader,
29GVVYC6999A8ZY,"Dar, Thaker and Nagy",clean,ordinary_trader,
29PAIXO7138T6ZZ,Mitra-Butala,clean,ordinary_trader,
06RXXCN1666X7ZI,Shetty Group,clean,ordinary_trader,
33BQHRC7818K2Z0,"Naik, Zachariah and Salvi",clean,ordinary_trader,
09FHSIZ3547O8Z5,"Bobal, Dora and Parsa",low,honest_two_way_trader,honest-loop-6
06ITYWK9719V8ZT,Dewan Inc,clean,ordinary_trader,
24JMRRI4906Z9ZT,"Das, Cherian and Manda",clean,ordinary_trader,
06KORQI4186S8ZQ,Radhakrishnan-Oza,clean,ordinary_trader,
32YVLUZ5088H4ZN,"Deshpande, Rattan and Kothari",clean,ordinary_trader,
32JAIQK3203T5ZA,"Keer, Deo and Morar",clean,ordinary_trader,
32IEWIM0666V1ZW,Vaidya Group,clean,ordinary_trader,
24NSFRJ5227E7ZZ,Sanghvi Ltd,clean,ordinary_trader,
19PWBTB9121H9ZO,Ghosh-Natarajan,clean,ordinary_trader,
24HZRKI1684Z7ZL,Kara and Sons,clean,ordinary_trader,
24PSWHE4662L3Z8,Raman-Sengupta,clean,ordinary_trader,
24XLWZB5387V8Z1,"Anand, Das and Dani",clean,ordinary_trader,
19YPWOX0914C1Z7,"Tripathi, Sharaf and Bhandari",clean,ordinary_trader,
29YOKPR3259U6ZL,Sarma Ltd,clean,ordinary_trader,
32JZNBJ8104J2Z3,Sur and Sons,clean,ordinary_trader,
32HBZLV7670G3Z6,"Oommen, Divan and Khurana",clean,ordinary_trader,
36GKWSM7196E7ZL,Rajagopal-Subramanian,clean,ordinary_trader,
33QVADX9188S8ZL,Morar-Sura,clean,ordinary_trader,
19HNAJO1894R4Z3,Rege-Memon,clean,ordinary_trader,
06QEVDV5827M5ZC,Grover-Chaudry,clean,ordinary_trader,
29BUKCF6025X4ZK,"Lata, Rajagopal and Sridhar",clean,ordinary_trader,
29MNAKU2652G8Z4,Tandon-Kaur,clean,ordinary_trader,
32ZKEYV3551D5ZT,Gaba LLC,low,honest_two_way_trader,honest-loop-9
06OOXVZ2627W6ZU,Basak Group,clean,ordinary_trader,
09NKYGG6106H5ZV,Sehgal Group,clean,ordinary_trader,
24WHMZR4442S5ZT,"Guha, Madan and Ahuja",clean,ordinary_trader,
36FIDWM3210A3ZC,Wali LLC,clean,ordinary_trader,
06NVIMB2663Z2Z5,"Andra, Garg and Palla",clean,ordinary_trader,
27YWPKG6423I5ZP,"Jaggi, Varty and Khalsa",clean,ordinary_trader,
32YPHRB8594P3ZS,Prakash Group,clean,ordinary_trader,
07KUNDN2246H3Z9,"Soni, Iyengar and Lala",low,honest_two_way_trader,honest-loop-12
27HHFVG4007O3Z9,Amble-Patla,clean,ordinary_trader,
06YSIUA4309I7ZS,"Kar, Sahota and Bal",clean,ordinary_trader,
36UQQUQ8631U6ZS,Varty-Bansal,low,honest_two_way_trader,honest-loop-9
06YAWOK4482U8ZM,Pall Inc,clean,ordinary_trader,
19WXETD7461B2ZV,"Mangal, Batta and Nayak",clean,ordinary_trader,
19UAIYS8806O3ZM,Agarwal-Patla,clean,ordinary_trader,
09QNKWM7614X4ZC,Kulkarni PLC,clean,ordinary_trader,
29XCJLW8362F3ZL,Sem and Sons,clean,ordinary_trader,
27UYQBH0629Z9ZM,Merchant LLC,clean,ordinary_trader,
24OTESP6090Q1ZX,Lall Ltd,clean,ordinary_trader,
36ALKZI1768O9ZV,Solanki PLC,clean,ordinary_trader,
09CTHNA5738X8ZF,Bera Group,low,honest_two_way_trader,honest-loop-5
