gstin,name,band,planted_as,group
33WEZAF1211U5Z3,Raman-Naidu,high,ring_shell,ring-1
27TFUJN0778H1Z2,Shukla Group,high,ring_shell,ring-1
06FIRNK1598G9Z2,"Baral, Chaudhry and Barad",high,ring_shell,ring-1
27HEFQF0860E1ZS,Yogi Group,high,ring_shell,ring-2
06AEWHD1798W9ZZ,Warrior-Guha,high,ring_shell,ring-2
36NJAYW0788W1Z1,Mohan Inc,high,ring_shell,ring-2
27PODCG9391T1ZA,Toor-Karnik,high,ring_shell,ring-2
33FMKRF3123H1Z5,Majumdar-Bora,low,honest_two_way_trader,honest-loop-16
33WPACJ9163R7ZP,Sura Inc,clean,ordinary_trader,
19EQLBY9270F9ZG,Sane-Tella,low,honest_two_way_trader,honest-loop-13
27VBVJA1751H5ZF,Bali LLC,clean,ordinary_trader,
36WQVGT3295F4ZR,Sahni LLC,clean,ordinary_trader,
29XLSEE3052G4ZT,"Gandhi, Ramachandran and Cherian",clean,ordinary_trader,
09RTBEN1983C4ZA,Sachar-Dua,clean,ordinary_trader,
19PINVK7074T9ZP,Mander and Sons,clean,ordinary_trader,
32VRUWE9040P2ZH,Gola Group,clean,ordinary_trader,
19CCKVW9692Y2ZN,"Chatterjee, Doshi and Keer",clean,ordinary_trader,
27YMQQB1429S4ZN,"Grewal, Madan and Tank",clean,ordinary_trader,
06UHZTW1531F2ZV,Sama Group,clean,ordinary_trader,
36SFPRY2096H6ZC,Buch Ltd,clean,ordinary_trader,
33NRXPW9618T2Z4,"Patel, Jani and Deshmukh",clean,ordinary_trader,
19ISPJW5108Q1ZR,Sura-Apte,clean,ordinary_trader,
09RNPPS4574B4ZK,"Kapur, Subramaniam and Khosla",clean,ordinary_trader,
36HCWYU3794P2ZC,Agarwal-Sood,clean,ordinary_trader,
06HBMSY1885G7ZU,Bhargava Group,clean,ordinary_trader,
19MTNIC0871C8ZH,Kakar PLC,clean,ordinary_trader,
19YVFXU6759P2ZU,"Chakraborty, Srinivasan and Garde",clean,ordinary_trader,
32DSMKK5402L3ZA,"Kanda, Kadakia and Master",clean,ordinary_trader,
32LEZIV9889F5ZU,Mandal-Pal,clean,ordinary_trader,
19ZXHPO8928B5ZX,Sridhar PLC,clean,ordinary_trader,
33BUQZU9585F8ZR,Shenoy-Hayer,clean,ordinary_trader,
06NEVZN7309U1Z9,Sathe PLC,clean,ordinary_trader,
27REVOI7954X3ZU,Majumdar LLC,clean,ordinary_trader,
24JNOKV8393Z2ZX,Sur-Sule,clean,ordinary_trader,
09NKJLS4469E3Z5,"Sagar, Kulkarni and Misra",clean,ordinary_trader,
27LKOEU9798X8ZH,"Bhatia, Shah and Sama",clean,ordinary_trader,
32QFAVD4797G6ZQ,"Chahal, Bahl and Pant",clean,ordinary_trader,
27FCJBS5482O7ZH,Basu and Sons,clean,ordinary_trader,
07OYOWJ1126Q7Z6,Kalita-Patel,clean,ordinary_trader,
32PNXRQ3559J2ZD,"Oza, Nair and Krishnan",clean,ordinary_trader,
36ZXCGD4127X8ZC,Cherian-Maharaj,clean,ordinary_trader,
19UTJXN8944J5ZT,D’Alia-Varma,clean,ordinary_trader,
19IHQUX1906V9ZS,Parekh-Kohli,clean,ordinary_trader,
29NKHQG7731Y2ZY,Mand LLC,clean,ordinary_trader,
32XLLEH8058M1ZM,"Pandey, Parmer and Dada",low,honest_two_way_trader,honest-loop-9
33CFBFN3740R8ZF,Maharaj-Chander,clean,ordinary_trader,
27ELFLN9358X2Z9,Dara Ltd,clean,ordinary_trader,
32GUQDU0085K8Z6,"Aurora, Baral and Bhavsar",clean,ordinary_trader,
27GMOOH0054L4ZH,Dugar Ltd,clean,ordinary_trader,
07OHGAN2194R9ZO,Kakar-Dada,clean,ordinary_trader,
32RSYLQ0223K2ZF,"Kari, Khosla and Apte",clean,ordinary_trader,
24OOCMR3493R1ZL,"Jhaveri, Malhotra and Khare",low,honest_two_way_trader,honest-loop-18
06NBWOU6069Z4Z2,"Tella, Bhatt and Mandal",clean,ordinary_trader,
36QZLLD9058Q6ZL,Agate LLC,low,honest_two_way_trader,honest-loop-5
06VNWVT3594Y6ZF,Chakraborty Group,clean,ordinary_trader,
36GTQFH1879F7ZB,Ganguly-Koshy,clean,ordinary_trader,
09TJKVU9471I1ZZ,Chada LLC,clean,ordinary_trader,
07PKLTP4272E4ZF,Garde and Sons,clean,ordinary_trader,
36EXIRZ1251C9ZJ,Soni-Peri,clean,ordinary_trader,
09DDLWM8819L7Z7,Warrior-Krishnamurthy,clean,ordinary_trader,
19DHSRT3390D9ZH,"Mand, Varty and Aurora",clean,ordinary_trader,
33RDFAC6934H4Z0,"Basu, Sheth and Atwal",clean,ordinary_trader,
36UCSVH6973N7Z4,"Thaman, Wagle and Pandya",clean,ordinary_trader,
07ONCLJ9092D5ZF,"Chaudry, Lata and Wadhwa",clean,ordinary_trader,
33DHTXJ4991O4Z9,Comar LLC,clean,ordinary_trader,
24TKQSP7128N9ZM,Thakkar PLC,clean,ordinary_trader,
27PQKCF4072L1ZA,"Brahmbhatt, Natarajan and Misra",clean,ordinary_trader,
27KINDQ3546Y6ZH,"Madan, Nagar and Muni",clean,ordinary_trader,
09ASFZG5181A8ZO,Bains-Lalla,clean,ordinary_trader,
29XBXTV9567L1ZW,Sethi and Sons,clean,ordinary_trader,
29GHHZJ2849M7ZD,Karnik Ltd,clean,ordinary_trader,
36KZQIO0967W9ZY,Banik and Sons,low,honest_two_way_trader,honest-loop-12
32CQFMQ1007G1ZZ,"Raman, Mody and Kibe",clean,ordinary_trader,
09BWUUH8264Q3ZN,"Majumdar, Saha and Vig",clean,ordinary_trader,
27ZUQVU8530O4ZJ,Deshmukh-Acharya,clean,ordinary_trader,
32PEFUL8148N2ZP,Bassi Ltd,clean,ordinary_trader,
06WKSTU9888E9Z5,Pai-Lata,clean,ordinary_trader,
09JRYHP9547Z8Z0,Kata Inc,clean,ordinary_trader,
27SZGGX2401A8ZI,Rao-Chaudhari,clean,ordinary_trader,
06QCKYJ4781C3ZE,Rana LLC,clean,ordinary_trader,
29QTIKV4880E2ZN,Bala Inc,clean,ordinary_trader,
07AJTBF9825V5ZM,"Bains, Chawla and Singh",clean,ordinary_trader,
29BDNIG8552B5ZS,Edwin and Sons,clean,ordinary_trader,
06AIDIZ6288E8ZO,"Modi, Manne and Kaul",clean,ordinary_trader,
27DSOCO9299B9Z7,Raj Group,clean,ordinary_trader,
