gstin,name,band,planted_as,group
24GEXJC2415X7ZY,Hayre and Sons,clean,ordinary_trader,
33BUIBH8097H4ZR,"Atwal, Shetty and Kapur",clean,ordinary_trader,
36NJKLT3372F3ZD,Sidhu and Sons,clean,ordinary_trader,
06VCIBW4454E2ZV,Sachdeva Group,clean,ordinary_trader,
06FUIBH5655R6ZC,"Pandit, Aggarwal and Banik",clean,ordinary_trader,
27GVHFR3579U9ZZ,"Chaudhari, Thaman and Kumar",clean,ordinary_trader,
24NGJGZ8037Z1ZD,Sarma-Mahajan,low,honest_two_way_trader,honest-loop-7
19KCBYE6201Y1ZH,Sama PLC,clean,ordinary_trader,
36HXAQO1056V3ZE,"Tella, Loke and Bhatnagar",clean,ordinary_trader,
32VQUIR1678A1Z6,Dhar Group,clean,ordinary_trader,
24UCPWY7401V1ZV,Subramanian-Pall,low,honest_two_way_trader,honest-loop-8
36XJGYT6022K8Z8,Char and Sons,clean,ordinary_trader,
27SZTKV7449I2ZE,Khosla PLC,clean,ordinary_trader,
32DXZZY4183V8ZQ,"Dhar, Mangat and Padmanabhan",clean,ordinary_trader,
07QKQCR0568T7ZJ,Madan-Sinha,clean,ordinary_trader,
19LJKEC4017Q8Z8,Viswanathan-Bhavsar,clean,ordinary_trader,
27YIIPY6046D6ZG,Virk and Sons,clean,ordinary_trader,
24VJJXK3345Q3ZD,"Kamdar, Narula and Vasa",clean,ordinary_trader,
27SNZYO5669J9ZK,Sandal PLC,clean,ordinary_trader,
19PSSBT3153D9ZD,Bali-Goel,clean,ordinary_trader,
33VWGYM5414S6ZK,"Kala, Chhabra and Barad",low,honest_two_way_trader,honest-loop-6
29ZULUF6465I9ZJ,Ganesh-Konda,clean,ordinary_trader,
29ORMWR3186G5ZJ,Som and Sons,clean,ordinary_trader,
29UFDMQ3107T5Z2,Solanki Group,clean,ordinary_trader,
33CPYDH2711P3Z5,Chawla-Divan,clean,ordinary_trader,
19IUHWZ3041Q1ZT,Sharma Inc,low,honest_two_way_trader,honest-loop-5
33FNBOY1088J5ZD,Nair LLC,clean,ordinary_trader,
27PAPOL1361W7ZI,"Lal, Sharaf and Apte",clean,ordinary_trader,
07WGUKF3654K1ZC,"Kar, Prasad and Gara",clean,ordinary_trader,
27ALQRY4335A7ZT,"Kanda, Jhaveri and Lala",clean,ordinary_trader,
09WROWA8135B7ZL,Swamy and Sons,clean,ordinary_trader,
24ZBZSS8032U5ZQ,Jaggi Group,clean,ordinary_trader,
36UUQQG2459S3Z0,Gole Ltd,clean,ordinary_trader,
33MJDDR0438F4ZM,Sarkar PLC,clean,ordinary_trader,
33CGQJG8587Q5ZE,"Patla, Bora and Pillai",clean,ordinary_trader,
32NCCSS9692B2ZU,Sahota Inc,clean,ordinary_trader,
33QYHHF3642L9ZN,"Chandran, Mittal and Viswanathan",clean,ordinary_trader,
36NDTIS8038N7ZE,"Sen, Chaudhari and Kala",clean,ordinary_trader,
19PNDKH8683O3ZD,Kar LLC,clean,ordinary_trader,
32MFUDG6183P7ZE,"Bhalla, Mander and Sibal",clean,ordinary_trader,
09STXTL2716S1Z7,Radhakrishnan-Palla,clean,ordinary_trader,
07AYRHJ1605Y4ZC,Raghavan-Baria,clean,ordinary_trader,
33CYBKL6728X5Z2,Kaur-Pau,clean,ordinary_trader,
06UFABH7635B8ZQ,"Sur, Konda and Mall",clean,ordinary_trader,
36VJXFX5256I8ZE,Anand-Kadakia,clean,ordinary_trader,
32LFAMV3961P1ZT,Gupta-Divan,clean,ordinary_trader,
06HWAVD5244X8ZZ,Nair-Acharya,clean,ordinary_trader,
07PODYZ4603M6ZX,Goyal-Om,clean,ordinary_trader,
09UMXBH0136I1ZK,Gala PLC,clean,ordinary_trader,
32IWGIT3580A7ZI,Grewal LLC,clean,ordinary_trader,
06WHFBT7138V8ZO,"Lall, Narayanan and Dass",clean,ordinary_trader,
19GDFAO4477L5ZD,Dar-Patel,clean,ordinary_trader,
19ZCKIM1740T5Z9,"Kari, Sathe and Sha",clean,ordinary_trader,
07IFNYI4624S2Z0,Om Ltd,clean,ordinary_trader,
27FUYZX5997M9Z9,"Hayre, Sampath and Soman",clean,ordinary_trader,
32FKXGF5161U7ZW,Savant LLC,clean,ordinary_trader,
09BZWBD2295V5Z5,"Sundaram, Patla and Varma",clean,ordinary_trader,
06OGYZI7656C4Z9,Malhotra-Tella,clean,ordinary_trader,
36IZRUT9849V8ZH,"Muni, Wali and Garg",low,honest_two_way_trader,honest-loop-8
32QGROW2964D7ZY,"Pandit, Narasimhan and Dixit",clean,ordinary_trader,
19HSBAL2419L3Z7,"Bhat, Jhaveri and Puri",low,honest_two_way_trader,honest-loop-6
06LHVUH6081A8ZE,Arora-Kannan,clean,ordinary_trader,
19QKLAE2036U1Z0,Bajwa Inc,low,honest_two_way_trader,honest-loop-5
06DLXEA2914D3Z8,Kulkarni Ltd,clean,ordinary_trader,
