gstin,name,band,planted_as,group
27ZPZQF8830A3ZR,"Ray, Sathe and Bandi",high,ring_shell,ring-1
07BNXYN9705R3ZN,Zachariah-Tank,high,ring_shell,ring-1
27AOFRX5672F4ZF,"D’Alia, Pillay and Bajaj",high,ring_shell,ring-1
09YYSXC1878M7Z9,Setty and Sons,high,ring_shell,ring-1
32IACFW7071R6ZE,"Chowdhury, Golla and Garde",high,ring_shell,ring-2
24FULKL9431F6ZB,"Pall, Natarajan and Pal",high,ring_shell,ring-2
29VHNFX9057Q9ZF,"Mohan, Korpal and Chauhan",high,ring_shell,ring-2
29PBJBI4063F3ZL,Bhatti and Sons,high,ring_shell,ring-2
36UQXPA3525T3ZU,Subramanian-Bhandari,high,ring_shell,ring-2
36AMVEW0495U7ZQ,Ben-Kuruvilla,high,ring_shell,ring-2
29EEEDM1207Z5ZI,Garde Group,low,honest_two_way_trader,honest-loop-4
06FFMGW8098X2ZO,Dewan-Warrior,clean,ordinary_trader,
06WTKXB3624X2ZZ,Sekhon and Sons,clean,ordinary_trader,
27JJWTQ8319K2ZQ,Ram Group,low,honest_two_way_trader,honest-loop-3
07AVUWO7886M4ZR,"Naik, Varughese and Mukherjee",clean,ordinary_trader,
06HMMKP3107F5ZD,"Ramachandran, Ratti and Bobal",clean,ordinary_trader,
06WAFKG4621R2ZO,Swamy LLC,clean,ordinary_trader,
24SVGIC0584E3ZH,Buch PLC,clean,ordinary_trader,
27VMTID3305Z9Z1,"Mall, Raghavan and Dugar",low,honest_two_way_trader,honest-loop-1
09AREDJ3750L1ZR,Rao PLC,clean,ordinary_trader,
06ZSOZA9116X9Z3,Rau-Konda,clean,ordinary_trader,
19ELJJU0112Q1ZH,"Andra, Bobal and Bir",clean,ordinary_trader,
07DHLRI6338N6ZW,Rege-Issac,clean,ordinary_trader,
36PPFOZ0403V7Z7,"Bhakta, Kalla and Walla",clean,ordinary_trader,
09LFTIT0622R5ZW,"Mangal, Sengupta and Patil",clean,ordinary_trader,
27HMTFL8592A4ZD,Khatri Ltd,low,honest_two_way_trader,honest-loop-1
06FHVNT7733I5ZV,"Sarraf, Mittal and Dewan",clean,ordinary_trader,
32ZJXEX3262M8ZI,Nath-Shenoy,clean,ordinary_trader,
27ALEPK7569U6ZG,Kamdar-Varkey,clean,ordinary_trader,
33GTKCX4322Y9ZI,Kaul PLC,clean,ordinary_trader,
07KUQLA3240I4ZW,Suri-Dubey,clean,ordinary_trader,
07UAULE5677X8ZE,Warrior Ltd,clean,ordinary_trader,
29EFAZI5543B4ZA,"Parmar, Sahni and Banerjee",clean,ordinary_trader,
32DGWWG8013H9ZR,Mani PLC,clean,ordinary_trader,
36VLZNB9706Y8Z5,"Patla, Issac and Batra",clean,ordinary_trader,
36MZJBD4917K5Z9,"Prashad, Gupta and Mammen",clean,ordinary_trader,
24XNQWD7385X3ZL,Loke-Kakar,clean,ordinary_trader,
19GFKAV3735Q8ZB,Sha Inc,clean,ordinary_trader,
24YYWVX1034K1ZA,"Munshi, Lanka and Palla",clean,ordinary_trader,
24AGMGP8326M1ZX,"Kata, Dave and Naidu",clean,ordinary_trader,
19UKDFQ9474N1ZH,Chacko PLC,clean,ordinary_trader,
07KWILE8553U6ZA,"Agarwal, Bhatnagar and Sastry",clean,ordinary_trader,
29ZAFKS8325T5Z6,Ramanathan-Yogi,clean,ordinary_trader,
32JXXBH4534N8Z5,"Subramanian, Warrior and Salvi",clean,ordinary_trader,
36OBMPC8728D9Z1,Yogi and Sons,clean,ordinary_trader,
36OCSNL9677X2ZE,"Kashyap, Bhasin and Patil",clean,ordinary_trader,
06YLMRX1588B6ZF,Bandi Inc,clean,ordinary_trader,
33VSKKT9786Y3ZG,"Jayaraman, Varkey and Gola",clean,ordinary_trader,
36FIYPN9843Q2Z7,"Tara, Chakrabarti and Nagar",clean,ordinary_trader,
24QZZUH6664T7ZI,Kaul-Saran,low,honest_two_way_trader,honest-loop-2
